@relation feature

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric

@attribute Class {0,1}


@data
0.190695,5,4,1,1,0,1
0.017075,8,2.25,1,1,0,1
0.435506,4,6.75,1,0,1,0
0.067977,7,4.428571,0.571429,1,0,0
0.12089,4,5.75,0.25,0,0,0
0.008693,6,2.833333,0.666667,1,1,1
0.067977,5,5,0.8,1,0,1
0.12089,5,5.4,0.2,0,0,0
0.093785,5,2.4,0.8,1,0,1
0.017154,6,4,1,0,0,1
0.018147,6,3.5,0.833333,1,0,1
0.05284,6,3.666667,1,1,0,1
0.079101,8,4,1,1,0,1
0.188697,6,4,1,1,0,1
0.005726,3,2.666667,1,1,0,0
0.479612,7,4,0.857143,1,0,0
0.479612,6,4,1,1,0,0
0.071617,3,4,0,0,0,0
0.186939,7,4.428571,0.857143,1,0,1
0.454221,3,6,1,0,0,0
0.022429,6,3.833333,1,0,0,0
0.142411,3,10,1,0,0,0
0.078005,4,6.75,1,0,0,0
0.424442,3,6.666667,1,0,1,0
0.021481,7,3.571429,1,0,0,1
0.09098,5,6.2,1,0,0,0
0.403214,7,11.714286,1,0,0,0
0.187296,7,4.857143,1,1,0,1
0.189923,4,7,1,0,0,0
0.472777,6,4,1,0,0,0
0.005968,6,6.166667,0.666667,0,0,0
0.397707,3,6,1,0,0,0
0.400163,8,10.625,1,0,0,0
0.098619,3,5.666667,1,0,0,1
0.314041,5,4,0,0,0,0
0.379576,3,6,1,0,0,0
0.298302,3,8.666667,1,0,0,0
0.050536,3,3.333333,0.666667,1,0,1
